,height,search_num,final_win_num,G,PER,WS,TRB,AST,PTS,G_sum,PER_sum,WS_sum,TRB_sum,AST_sum,PTS_sum,Pos_C,Pos_PF,Pos_PF-C,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SG,Pos_SG-SF,HoF
67,-1.0565304759999998,-0.351351355,-0.29995078199999997,0.598570678,-1.0698387390000001,-0.843509592,-0.657795612,-0.404983881,-0.701579872,-0.53614983,-1.07853178,-0.643901694,-0.5743856860000001,-0.474643475,-0.5998549710000001,0,0,0,0,0,0,0,1,0,0
68,1.730066515,-0.361297506,-0.29995078199999997,-1.494949638,-2.083245879,-0.8709082990000001,-0.920058704,-0.799130272,-0.964341942,-0.925461357,-1.025752643,-0.581366096,-0.640076006,-0.5762754529999999,-0.666342436,1,0,0,0,0,0,0,0,0,0
69,0.872652056,-0.360657116,-0.29995078199999997,-1.355381617,-0.700243194,-0.843509592,-0.777356727,-0.747719873,-0.916875245,-0.900611686,-0.818154701,-0.584840296,-0.61655177,-0.568402554,-0.657982901,1,0,0,0,0,0,0,0,0,0
70,0.872652056,-0.35857304799999995,-0.29995078199999997,0.9125987259999999,0.193939577,0.11544513599999999,0.742226485,-0.46781881299999994,-0.07095090400000001,0.7891660079999999,0.685464289,0.20727727699999998,0.573863366,-0.312175453,-0.050264145,1,0,0,0,0,0,0,0,0,0
71,0.122414405,-0.33565489,1.198207644,-1.2855976059999998,-0.43794958100000003,-0.788712179,-0.923915514,-0.770568939,-0.955865746,-0.889567387,-0.764202693,-0.570943497,-0.638300592,-0.569118272,-0.6612878329999999,0,0,0,0,0,0,0,1,0,0
72,1.1941824779999999,-0.211468152,-0.29995078199999997,0.9125987259999999,-0.044509162000000005,0.745615385,1.154905174,-0.35357348200000005,0.417277974,1.269593,0.8496660509999999,0.4991100670000001,1.116696219,-0.227004992,0.35352083799999995,1,0,0,0,0,0,0,0,0,0
73,-1.0565304759999998,-0.309999743,1.198207644,0.87770672,0.44431075299999995,1.1839946890000002,-0.083130894,1.325832881,1.715831171,0.330827614,0.313664586,0.360142071,-0.195778635,0.8293950109999999,0.78024594,0,0,0,0,0,0,0,1,0,0
74,0.658298441,-0.359681034,-0.29995078199999997,-1.9136537009999999,-1.68980546,-0.8161108859999999,-0.950913185,-0.804842539,-0.993161007,-0.958594253,-0.987047942,-0.574417697,-0.643626835,-0.576991172,-0.669647368,0,0,0,0,0,1,0,0,0,0
75,-0.199116017,-0.34699855399999996,-0.29995078199999997,-0.308621459,-0.6883207570000001,-0.651718647,-0.692506903,-0.627762276,-0.760913242,-0.795690848,-0.8369206159999999,-0.553572497,-0.611225528,-0.55408819,-0.638736529,0,0,0,0,0,1,0,0,0,0
76,0.122414405,-0.32701523899999996,-0.29995078199999997,0.9125987259999999,1.243114029,3.1293028510000003,0.742226485,2.519696587,2.0243646980000003,1.192282909,1.757467219,1.649070227,0.8801222940000001,2.071881736,1.543296522,0,0,0,1,0,0,0,0,0,0
77,0.658298441,-0.361214407,-0.29995078199999997,0.040298594,0.158172267,-0.596921234,-0.596086649,-0.673460408,-0.654113175,-0.610698846,-0.407650296,-0.525778898,-0.5446475000000001,-0.532616646,-0.591689844,0,0,0,0,0,1,0,0,0,0
78,0.658298441,-0.34594332899999997,-0.29995078199999997,0.9125987259999999,-0.342570085,-0.40513028799999995,1.023773628,-0.28502628399999996,0.373201756,0.214862478,-0.268078799,-0.546624097,0.209459628,-0.331499843,-0.213372282,0,1,0,0,0,0,0,0,0,0
79,0.336768019,-0.340865061,-0.29995078199999997,0.80792271,-0.187578405,0.307236081,0.919639753,-0.090809221,0.26131597100000004,-0.083333585,-0.181286439,-0.20615250899999998,0.122464338,-0.260643745,-0.242144635,0,1,0,0,0,0,0,0,0,0
80,-0.199116017,-0.312242095,-0.29995078199999997,0.7381386990000001,0.062792771,-0.021548397,-0.005994691,0.194804106,0.291830276,0.311500092,0.089646468,-0.150565311,-0.190452392,0.024212082000000003,-0.09711642300000001,0,0,0,0,0,0,0,1,0,0
81,0.658298441,0.8186948059999999,-0.29995078199999997,0.075190599,0.193939577,-0.679117353,0.30640693399999996,-0.656323609,-0.472722585,-0.572043801,-0.412341775,-0.532727298,-0.4288017320000001,-0.549793881,-0.5763316279999999,0,1,0,0,0,0,0,0,0,0
82,0.122414405,-0.307031924,-0.29995078199999997,0.354326641,-0.139888657,-0.679117353,-0.39553251899999997,-0.399271614,-0.333712974,-0.555477353,-0.56364197,-0.550098297,-0.519347849,-0.48036922,-0.530062574,0,0,0,0,0,1,0,0,0,0
83,-1.592414513,-0.36032076399999996,-0.29995078199999997,0.9125987259999999,0.20586201399999998,0.00585031,-0.383962089,0.7774552929999999,0.279963602,0.10165841699999999,0.715958902,-0.24436870800000002,-0.41504227299999996,0.173797177,-0.228730497,0,0,0,1,0,0,0,0,0,0
84,-1.0565304759999998,-0.35687149799999995,-0.29995078199999997,-1.5298416430000001,0.289319073,-0.761313473,-0.885347412,-0.75343214,-0.905008571,-0.928222432,-0.792351567,-0.567469297,-0.636081325,-0.5705497079999999,-0.659538163,0,0,0,0,0,0,0,1,0,0
85,-0.41346963200000003,3.311662782,-0.29995078199999997,0.842814715,0.015103023,0.41683090700000003,-0.260544163,1.074493153,0.178249252,1.904640172,1.5733266719999999,0.34624527200000005,0.106929465,1.4892871540000001,0.391430357,0,0,0,1,0,0,0,0,0,0
86,-0.199116017,2.394936463,-0.29995078199999997,0.354326641,0.313163947,-0.679117353,-0.549804926,-0.38784708100000004,-0.445598759,-0.237953766,-0.117951474,-0.5188304979999999,-0.4900535170000001,-0.427406076,-0.476600431,0,0,0,0,0,0,0,0,1,0
87,0.122414405,1.51118591,-0.29995078199999997,0.9125987259999999,0.563535123,2.362139069,2.246382456,1.5600358090000002,1.1936975090000002,1.473912525,1.119426088,2.500249198,2.587182925,1.543681734,1.207554266,0,1,0,0,0,0,0,0,0,0
88,0.658298441,2.137725481,-0.29995078199999997,-0.343513464,0.325086384,-0.487326408,-0.318396315,-0.60491321,-0.672760806,-0.450556515,-0.081592512,-0.445872301,-0.426138611,-0.5297537729999999,-0.570110579,0,1,0,0,0,0,0,0,0,0
