n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,n_salary
0.577464789,0.002097214,0.428571428,0.513694461,0.512491325,0.183695652,0.08233945,0.170188536,0.200224034,0,1698823.529
0.605633803,0.002621218,0,0.032866707,0.179042332,0.007246377,0.003555046,0.011008478,0.005079845,0,715000
0.507042253,0.000453203,0,0.000608643,0.190666204,0.009782609,0.000114679,0,5.21E-05,0,0
0.718309859,0.000186801,0,0,0.111901457,0.009782609,0,0,0,0,0
0.464788732,1.94E-05,0,0.0669507,0.218077724,0.009782609,0.003211009,0.006832848,0.004220179,0,135000
0.647887324,0.013833294,0,0.180158247,0.311415684,0.034782609,0.073279817,0.012020752,0.054367364,0,0
0.647887324,0.112793967,0,0.023737066,0.268390007,0.010507246,0.003038991,0.000316336,0.001406726,0,178961.75
0.746478873,3.84E-06,0,0.013998783,0.17297016,0.009782609,0.001318807,0.000126534,0.000651262,0,0
0.676056338,1.04E-05,0,0.022519781,0.211832061,0.013043478,0.006880734,0.001202075,0.004246229,0,366931
0.605633803,0.040793477,0,0.106512477,0.224843858,0.01884058,0.032568807,0.014931039,0.027639565,0,0
0.647887324,3.16E-05,0,0.471698113,0.41221374,0.124275362,0.219724771,0.057383272,0.13189361,0,0
0.746478873,0.001585211,0,0.619598296,0.635149202,0.150362319,0.431995413,0.08066557,0.293536875,0,2849856.077
0.577464789,0.019793335,0,0.531345101,0.61276891,0.282246377,0.290137615,0.181133747,0.512022299,1,0
0.535211268,0.008633259,0,0.096165551,0.254337266,0.017391304,0.02081422,0.009173732,0.016594159,0,805405
0.535211268,0.010993275,0,0.123554473,0.242366412,0.02173913,0.020183486,0.016829052,0.028082424,0,0
0.647887324,0.002261215,0,0.01339014,0.179736294,0.00942029,0.001949541,0.000759205,0.001432777,0,0
0.788732394,0.003497224,0.428571428,0.585514303,0.515614157,0.273550725,0.350114679,0.087941288,0.331179826,0,1840400
0.647887324,0.000673205,0,0.118076689,0.263185288,0.016304348,0.021616973,0.004871568,0.013884909,0,586408.4167
0.605633803,0.028713395,0,0.001217285,0.163601666,0.008695652,0.000802752,0.000253068,0.000156303,0,0
0.676056338,0.00296122,0,0.181984175,0.248438584,0.049275362,0.074426606,0.024863976,0.042670696,0,0
0.577464789,7.12E-05,0,0.454656117,0.352706454,0.099275362,0.118004587,0.13020372,0.14103733,0,0
0.577464789,0.155594258,0,0.021911138,0.188410826,0.011956522,0.002694954,0.001265342,0.003360513,0,0
0.718309859,0.001029207,0.285714286,0.698113207,0.603747398,0.40942029,0.631708716,0.144502088,0.377940449,0,1374500
0.577464789,0.127594068,0,0.050517346,0.204892436,0.010869565,0.007798165,0.003669493,0.010342043,0,0
0.577464789,0.002249215,0,0.003651856,0.176092991,0.009782609,0.000516055,6.33E-05,0.000442858,0,0
0.577464789,4.40E-05,0,0.368837492,0.377342124,0.102536232,0.21456422,0.042895103,0.170474379,0,0
